time_key,date,day,month,month_name,quarter,year,day_of_week
1,2024-01-02,2,1,January,Q1,2024,Tuesday
2,2024-01-03,3,1,January,Q1,2024,Wednesday
3,2024-01-04,4,1,January,Q1,2024,Thursday
4,2024-01-05,5,1,January,Q1,2024,Friday
5,2024-01-08,8,1,January,Q1,2024,Monday
6,2024-01-09,9,1,January,Q1,2024,Tuesday
7,2024-01-10,10,1,January,Q1,2024,Wednesday
8,2024-01-11,11,1,January,Q1,2024,Thursday
9,2024-01-12,12,1,January,Q1,2024,Friday
10,2024-01-15,15,1,January,Q1,2024,Monday
11,2024-01-16,16,1,January,Q1,2024,Tuesday
12,2024-01-17,17,1,January,Q1,2024,Wednesday
13,2024-01-18,18,1,January,Q1,2024,Thursday
14,2024-01-19,19,1,January,Q1,2024,Friday
15,2024-01-22,22,1,January,Q1,2024,Monday
16,2024-01-23,23,1,January,Q1,2024,Tuesday
17,2024-01-24,24,1,January,Q1,2024,Wednesday
18,2024-01-25,25,1,January,Q1,2024,Thursday
19,2024-01-26,26,1,January,Q1,2024,Friday
20,2024-01-29,29,1,January,Q1,2024,Monday
21,2024-01-30,30,1,January,Q1,2024,Tuesday
22,2024-01-31,31,1,January,Q1,2024,Wednesday
23,2024-02-01,1,2,February,Q1,2024,Thursday
24,2024-02-02,2,2,February,Q1,2024,Friday
25,2024-02-05,5,2,February,Q1,2024,Monday
26,2024-02-06,6,2,February,Q1,2024,Tuesday
27,2024-02-07,7,2,February,Q1,2024,Wednesday
28,2024-02-08,8,2,February,Q1,2024,Thursday
29,2024-02-09,9,2,February,Q1,2024,Friday
30,2024-02-12,12,2,February,Q1,2024,Monday
31,2024-02-13,13,2,February,Q1,2024,Tuesday
32,2024-02-14,14,2,February,Q1,2024,Wednesday
33,2024-02-15,15,2,February,Q1,2024,Thursday
34,2024-02-16,16,2,February,Q1,2024,Friday
35,2024-02-19,19,2,February,Q1,2024,Monday
36,2024-02-20,20,2,February,Q1,2024,Tuesday
37,2024-02-21,21,2,February,Q1,2024,Wednesday
38,2024-02-22,22,2,February,Q1,2024,Thursday
39,2024-02-23,23,2,February,Q1,2024,Friday
40,2024-02-26,26,2,February,Q1,2024,Monday
41,2024-02-27,27,2,February,Q1,2024,Tuesday
42,2024-02-28,28,2,February,Q1,2024,Wednesday
43,2024-02-29,29,2,February,Q1,2024,Thursday
44,2024-03-01,1,3,March,Q1,2024,Friday
45,2024-03-04,4,3,March,Q1,2024,Monday
46,2024-03-05,5,3,March,Q1,2024,Tuesday
47,2024-03-06,6,3,March,Q1,2024,Wednesday
48,2024-03-07,7,3,March,Q1,2024,Thursday
49,2024-03-08,8,3,March,Q1,2024,Friday
50,2024-03-11,11,3,March,Q1,2024,Monday
51,2024-03-12,12,3,March,Q1,2024,Tuesday
52,2024-03-13,13,3,March,Q1,2024,Wednesday
53,2024-03-14,14,3,March,Q1,2024,Thursday
54,2024-03-15,15,3,March,Q1,2024,Friday
55,2024-03-18,18,3,March,Q1,2024,Monday
56,2024-03-19,19,3,March,Q1,2024,Tuesday
57,2024-03-20,20,3,March,Q1,2024,Wednesday
58,2024-03-21,21,3,March,Q1,2024,Thursday
59,2024-03-22,22,3,March,Q1,2024,Friday
