transaction_key,time_key,symbol_key,geography_key,transaction_type_key,unit
1,8,329,32,1,1605
2,17,329,32,3,1605
3,7,329,32,3,914
4,11,26,3,1,646
5,11,140,26,3,646
6,21,26,3,1,519
7,22,140,26,3,519
8,22,26,3,1,515
9,25,140,26,3,515
10,8,26,3,1,320
11,10,140,26,3,320
12,60,2318,40,1,309
13,71,2318,40,3,309
14,60,2318,40,1,303
15,71,2318,40,1,303
16,60,2318,40,3,303
17,79,2318,40,3,303
18,164,1387,41,1,287
19,169,1387,41,3,287
20,175,1387,41,1,255
21,196,1387,41,3,255
22,115,2318,40,1,233
23,120,2318,40,3,233
24,161,26,3,1,222
25,145,26,3,1,222
26,161,140,26,3,222
27,101,2318,40,1,221
28,103,2318,40,3,221
29,105,2318,40,1,217
30,141,2318,40,3,217
31,85,26,3,1,215
32,96,140,26,3,215
33,108,26,3,1,214
34,130,140,26,3,214
35,105,26,3,1,199
36,130,140,26,3,199
37,140,26,3,1,198
38,100,26,3,1,198
39,201,140,26,3,198
40,104,140,26,3,198
41,98,2318,40,1,195
42,141,2318,40,3,195
43,228,26,3,1,190
44,130,1387,41,1,177
45,132,1387,41,3,177
46,124,1387,41,1,155
47,126,1387,41,3,155
48,104,1387,41,1,147
49,107,1387,41,3,147
50,127,1387,41,1,146
51,138,1387,41,3,146
52,113,1387,41,1,144
53,114,1387,41,3,144
54,76,255,37,1,135
55,8,176,27,1,135
56,78,255,37,3,135
57,10,176,27,3,135
58,6,176,27,1,133
59,9,176,27,3,133
60,108,1387,41,1,132
61,109,1387,41,3,132
62,210,219,41,1,107
63,213,219,41,3,107
64,124,42,41,1,101
65,204,219,41,1,101
66,138,42,41,3,101
67,212,219,41,3,101
68,220,219,41,1,93
69,204,219,41,1,91
70,77,219,41,1,91
71,204,219,41,3,91
72,80,219,41,3,91
73,164,219,41,1,87
74,169,219,41,3,87
75,175,219,41,1,84
76,179,219,41,3,84
77,119,219,41,1,83
78,124,219,41,3,83
79,129,219,41,1,82
80,6,176,27,3,82
81,164,219,41,3,82
82,33,219,41,1,81
83,34,219,41,3,81
84,116,329,32,1,80
85,119,329,32,3,80
86,113,329,32,1,75
87,116,329,32,3,75
88,70,1735,19,1,74
89,75,2775,20,3,74
90,42,1735,19,1,73
91,49,2775,20,3,73
92,50,1735,19,1,71
93,64,2775,20,3,71
94,65,255,37,1,68
95,73,255,37,3,68
96,73,241,3,1,67
97,76,255,37,3,67
98,50,219,41,1,63
99,50,219,41,3,63
100,75,2164,4,1,62
101,54,219,41,1,62
102,84,2164,4,3,62
103,54,219,41,3,62
104,53,219,41,1,61
105,77,219,41,3,61
106,185,1455,41,1,60
107,8,2852,41,1,60
108,74,2164,4,1,60
109,187,1455,41,3,60
110,11,2852,41,3,60
111,75,2164,4,3,60
112,71,2164,4,1,58
113,154,834,42,1,58
114,38,219,41,1,58
115,205,1455,41,1,58
116,36,219,41,1,58
117,74,2164,4,3,58
118,167,834,42,3,58
119,39,219,41,3,58
120,211,1455,41,3,58
121,38,219,41,3,58
122,36,219,41,1,56
123,39,219,41,1,56
124,71,2164,4,1,56
125,31,219,41,1,56
126,36,219,41,3,56
127,39,219,41,3,56
128,71,2164,4,3,56
129,32,219,41,3,56
130,34,219,41,1,55
131,32,219,41,1,55
132,68,2164,4,1,55
133,36,219,41,3,55
134,32,219,41,3,55
135,71,2164,4,3,55
136,65,2164,4,1,54
137,67,2164,4,3,54
138,210,2704,6,1,53
139,213,2704,6,3,53
140,61,2164,4,1,52
141,47,219,41,1,52
142,214,2704,6,1,52
143,61,2164,4,3,52
144,50,219,41,3,52
145,75,1735,19,1,51
146,78,2775,20,3,51
147,123,1735,19,1,50
148,64,1735,19,1,50
149,145,1735,19,1,50
150,130,2775,20,3,50
151,67,2775,20,3,50
152,159,2775,20,3,50
153,177,1735,19,1,49
154,184,2775,20,3,49
155,46,241,3,1,48
156,195,1735,19,1,48
157,47,255,37,3,48
158,211,2775,20,3,48
159,50,241,3,1,47
160,31,241,3,1,47
161,64,255,37,3,47
162,36,255,37,3,47
163,189,1735,19,1,46
164,36,241,3,1,46
165,37,241,3,1,46
166,154,1455,41,1,46
167,194,2775,20,3,46
168,37,255,37,3,46
169,44,255,37,3,46
170,82,241,3,1,45
171,183,241,3,1,45
172,85,241,3,1,45
173,206,2704,6,1,45
174,6,2807,4,1,45
175,185,2704,6,1,45
176,84,255,37,3,45
177,191,255,37,3,45
178,149,255,37,3,45
179,206,2704,6,3,45
180,7,2807,4,3,45
181,196,2704,6,3,45
182,132,1735,19,1,44
183,8,2807,4,1,44
184,144,2775,20,3,44
185,8,2807,4,3,44
186,31,37,20,1,43
187,53,2492,20,1,43
188,228,1735,19,1,43
189,32,2492,20,3,43
190,106,999,29,3,43
191,7,2807,4,1,42
192,7,2807,4,3,42
193,141,834,42,1,41
194,218,1735,19,1,41
195,154,834,42,3,41
196,225,2775,20,3,41
197,37,2492,20,1,39
198,157,2164,4,1,39
199,90,834,42,1,39
200,115,2704,6,1,39
201,125,834,42,1,39
