symbol,company_name,sector,industry,country,market_cap,net_income,total_revenue,return_on_assets,return_on_equity,profit_margins,pe_trailing,pe_forward,earnings_growth,price_to_sales,price_to_book,revenue_growth,debt_to_equity,dividend_yield,payout_ratio,free_cashflow
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,United States,32487960576.0,1290000000.0,7064999936.0,0.08533,0.19945998,0.18259001,25.377481,17.515205,-0.036,4.5984373,4.704534,0.07,51.39,0.89,0.22049999,855875008.0
AA,Alcoa Corporation,Basic Materials,Aluminum,United States,18836457472.0,1027000000.0,12654999552.0,0.04241,0.15427,0.081709996,18.302563,10.659156,-0.227,1.4884597,2.7595003,-0.052,37.019,0.56,0.1026,1087374976.0
AAL,American Airlines Group Inc.,Industrials,Airlines,United States,9160184832.0,202000000.0,55993999360.0,0.01846,,0.00361,44.67742,6.2561545,,0.16359226,-2.2469177,0.108,,,0.0,861124992.0
AAMI,Acadian Asset Management Inc.,Financial Services,Asset Management,United States,2550322944.0,84200000.0,610800000.0,0.12663999,1.11725,0.13785,30.459576,12.513987,0.264,4.175381,32.910347,0.393,346.579,0.56,0.0553,120800000.0
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,United States,14563260416.0,-43337000.0,507000000.0,-0.03317,-0.06126,-0.085480005,,38.032272,,28.724379,12.958943,0.514,25.356,,0.0,-445583264.0
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,United States,11025316864.0,118116000.0,1616957952.0,0.068730004,0.13498999,0.07305,95.461,40.887,0.371,6.818555,11.79357,0.543,47.455,0.3,0.28170002,-215134368.0
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Auto Parts,United States,3496077568.0,68000000.0,8632000512.0,0.01768,0.030840002,0.0050999997,51.741074,14.549846,-0.025,0.4050136,1.581907,0.012,255.31,1.73,0.8929,-225500000.0
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,4535749181440.0,122575003648.0,451442016256.0,0.26229,1.4147099,0.27152002,37.432728,32.155922,0.218,10.047246,42.53719,0.166,79.548,0.35,0.1259,101090746368.0
AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,United States,1767100928.0,18247000.0,433830016.0,0.021259999,0.02157,0.04206,75.933334,31.63889,-0.88,4.0732565,1.2304202,0.018,159.055,5.97,4.5333,87208624.0
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,United States,381097213952.0,3595000064.0,62819000320.0,0.10032,,0.05786,105.21951,13.290391,-0.462,6.0665917,-57.260418,0.124,,3.21,3.2598002,20811624448.0
